title,creator,date,description,subject,source,Identifier,type,format,rights,filename,objectid,PARENT,publisher,Coverage,contributor,Relation
"Sarah West, 1898",Unknown,1898-01-01T00:00:00Z,"Portrait of Sarah West, Guelph, On., 1898.","Print, Photographic;Women's clothing & fashions, late 19th century;Women's portraits, Guelph, On.;West, Sarah, 1833-1910;Unknown",ASSET: 42443,2008.001.0366,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010366.jpg,slo20080010366E10,20563,State Library of Oregon,"Guelph, On..",Unknown,
"Astoria, 1850",,1850-01-01T00:00:00Z,"This photo of 1850 Astoria is a copy of a picture presented to D. C. Ireland by his uncle, David Ingalls.  The picture shows several dwellings around a body of water.  The town was founded in 1811, so this picture of a town only 39 years old shows its crude beginnings. This photo of 1850 Astoria is a copy of a picture presented to D. C. Ireland by his uncle, David Ingalls.  The picture shows several dwellings around a body of water.  The town was founded in 1811, so this picture of a town only 39 years old shows its crude beginnings. 4 prints, 2 scenes only slightly different.  Prints made 1/2006","Print, Photographic;Historic sites;Astoria, Clatsop County, Or.;Historic photographs, Astoria, Or. 1850",ASSET: 23279,2006.001.0285,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010285.jpg,slo20060010285E10,23278,State Library of Oregon,1850,,
The Bishop family,,ca. 1915,"Two scenes in front of a fireplace, which is probably a studio prop. Written in pencil on the back of one of the photos: ""Robert Bishop & parents.""  Neither the child nor the mother greatly resemble the child and mother in another portrait of Ruth Gabrielson Bishop (Mrs. Robert Chauncy Bishop, Sr.) and her sons Robert (Robert Chauncy Bishop, Jr.) and Charles Kay Bishop.","Print, Photographic;Bishop family, Salem, Or.;Family portraits, Salem, Or.",ASSET: 43482,2007.001.0554,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010554.jpg,slo20070010554E10,43481,State Library of Oregon,"Salem, Or.",Trover-Weigel?,
"Blanche and Harry Albert, and Jesse Breyman, several portraits",,,"Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche Albert - Sperry the Artist, Salem, Or. Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche Albert - Sperry the Artist, Salem, Or. Blanche Albert & Jessie Breyman. Jessie Breyman was the first wife of Sen. Charles L. McNary Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche Albert - Sperry the Artist, Salem, Or. Blanche Albert & Jessie Breyman. Jessie Breyman was the first wife of Sen. Charles L. McNary Blanche Albert Rodgers ca. 1920 Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche Albert - Sperry the Artist, Salem, Or. Blanche Albert & Jessie Breyman. Jessie Breyman was the first wife of Sen. Charles L. McNary Blanche Albert Rodgers ca. 1920 Harry Albert, Blanche's younger brother, who worked in banking. He is also seen in a group portrait dated Dec. 1896, next to his sister Blanche. This  portrait is also part of the Stapleton Collection. Blanche and Harry Albert were the children of John H. Albert and Mary Holman Albert of Salem, Or. Their older sister, Myra, married Frederick Wiggins and is well-known for her photography. Myra was born in 1869, Blanche was born in 1872 and Harry in 1874. Blanche became the wife of George F. Rodgers, member of 1907 Legislature, Mayor of Salem, 1907-1910, and owner of the George F. Rodgers & Co. shipyard in Astoria. Blanche Albert, August 1, 1896 - Cronise Studio, Salem, Or. Blanche Albert, Dec. 1896 - Cronise Studio, Salem, Or. Blanche Albert - Sperry the Artist, Salem, Or. Blanche Albert & Jessie Breyman. Jessie Breyman was the first wife of Sen. Charles L. McNary Blanche Albert Rodgers ca. 1920 Harry Albert, Blanche's younger brother, who worked in banking. He is also seen in a group portrait dated Dec. 1896, next to his sister Blanche. This  portrait is also part of the Stapleton Collection.","Print, Photographic;Women's portraits, Salem, Or.;Men's portraits, Salem, Or.;Albert family, Salem, Or.;Stapleton Collection;Albert, Blanche, 1872-??;Breyman, Jessie, 1877-1918;Albert, Harry E., 1874-??;Rodgers, Blanche Albert, 1872-??;Rodgers, Mrs. George F., 1872-??",ASSET: 37581,2007.001.0256,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010256_6.jpg,slo20070010256_6,37569,State Library of Oregon,1895 - 1920; Various or unknown,Various or unknown,
Ezra Meeker and Ox Team at The Dalles,,,"At the age of 75 Ezra Meeker had a goal and that goal was to mark the Oregon Trail. At 75 years old, he outfitted an old covered wagon with two oxen and followed the trail back east. Meeker made four more trips over the Oregon Trail. Once more by wagon train, by car, by rail and in 1924 by airplane.  This picture shows Meeker in The Dalles, Oregon dedicating a monument marking the end of the Old Oregon Trail.  Exact da At the age of 75 Ezra Meeker had a goal and that goal was to mark the Oregon Trail. At 75 years old, he outfitted an old covered wagon with two oxen and followed the trail back east. Meeker made four more trips over the Oregon Trail. Once more by wagon train, by car, by rail and in 1924 by airplane.  This picture shows Meeker in The Dalles, Oregon dedicating a monument marking the end of the Old Oregon Trail.  Exact da","Print, Photographic;Ox teams;Oregon Trail, The Dalles, Or.;Ezra Meeker;Ox teams;Monuments, The Dalles, Or.;Meeker, Ezra",ASSET: 23416,2006.001.0135,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010135_2.jpg,slo20060010135_2,20562,State Library of Oregon,,,
Unidentified Men,J. J. Hall,,Group portrait of unidentified men.,"Print, Photographic;Group portraits, Woodburn, Or.;J. J. Hall",ASSET: 43360,2008.001.0993,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010993.jpg,slo20080010993E10,20563,State Library of Oregon,"Woodburn, Or.",J. J. Hall,
Captain Oliver C. Applegate,Unknown,ca. 1929,"Captain Applegate wearing the buckskin coat he wore in the Modoc War. Applegate was part of the Applegate pioneer family who settled in Southern Oregon. He was an interpreter and scout in the Modoc War of the 1873, and was the Klamath Indian Agent from 1898 to 1905. He also named several landmarks at Crater Lake.","Print, Photographic;Klamath Indian Agents;Applegate Family;Buckskin jackets;Southern Oregon pioneers;Applegate, Oliver C., Capt.;Unknown",ASSET: 20909,2003.001.0227,StillImage,image/jpeg,Courtesy of State Library of Oregon,20030010227.jpg,slo20030010227E10,20908,State Library of Oregon,,,
Two lakes in the Eagle Cap Wilderness of the Wallowa Mountains,U.S. Forest Service and U.S. Biological Survey,1938-01-01T00:00:00Z,#311 - Mirror Lake and Eagle Cap Peak in the Wallowa Mountains of Eastern Oregon #389 - Aneroid Lake in Eagle Cap Wilderness of Eastern Oregon,"Print, Photographic;Mirror Lake, Wallowa Mountains;Eagle Cap Peak, Wallowa Mountains;Eagle Cap Wilderness;U.S. Forest Service and U.S. Biological Survey",ASSET: 28761,2006.001.1413,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011413_2.jpg,slo20060011413_2,28741,State Library of Oregon,1938,,
"Glencoe, Oregon",WPA Photographers,c. 1935,Pioneer town of Glencoe.  It is now a part of North Plains.,"Print, Photographic;Towns;Street scenes, Glencoe, Or.;Glencoe, Washington County, Or.;WPA Photographers",ASSET: 30221,2006.001.1513,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011513.jpg,slo20060011513E10,20562,State Library of Oregon,,,
Couple in Costume,,ca. 1920s?,"Couple in costume, Katherine Goulet in dress. No information found for Katherine Goulet in city directories or Ancestry.com","Print, Photographic;Plays, Salem, Or.;Women's portraits, Salem, Or.;Goulet, Katherine",ASSET: 40504,2007.001.0797,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010797_2.jpg,slo20070010797_2,40501,State Library of Oregon,Unknown.,Unknown,
